name,followers,following,posts,bio_length,has_profile_picture,has_external_link,is_verified,engagement_rate,suspicious_activity,post_frequency,account_age_days,account_type
Fiona Brown,83429,68,193,104,True,False,False,0.014577630141154495,True,regular,1515,real
Jack Anderson,36020,126,28,63,True,False,False,0.08873218273861522,False,regular,1259,real
Ivy Williams,75401,248,147,99,True,False,False,0.014084436085951807,False,consistent,1025,real
Hannah Brown,19674,369,493,134,True,False,False,0.09460457812423691,False,regular,288,real
NikeOfficial3,3009,4389,48,23,False,True,False,0.009846758151362859,True,irregular,25,fake
Mary Brown2000,4689,3155,50,5,True,False,False,0.01410703372374816,True,very_low,66,fake
Ivy Brown,74869,346,200,104,True,True,True,0.02706833986740361,False,regular,465,real
Eve Williams,34458,507,498,61,True,False,False,0.04839098795767471,True,regular,35,real
Jack Jones14,13052,578,246,84,True,False,False,0.05033416985297413,False,regular,322,real
Alice Moore,96464,657,225,43,True,False,False,0.05459384837892543,False,consistent,619,real
Jack Williams55,36358,488,427,134,True,False,False,0.05040581274018049,False,regular,471,real
zi_91s5whs,4955,3953,10,29,False,True,False,0.005017506993105918,True,very_low,269,fake
Charlie Williams,62094,98,318,84,True,False,False,0.08010676994541772,False,regular,330,real
Jack Williams,14497,942,70,94,True,False,False,0.08918664802416192,False,regular,1162,real
Bob Jones,67210,690,317,139,True,False,False,0.05631834493333024,False,regular,1114,real
Fiona Davis,36986,244,199,64,True,False,False,0.011528118138846294,False,regular,1711,real
Fiona Miller26,52880,637,217,108,True,False,False,0.0677520299780305,False,regular,1381,real
Charlie Davis12,80097,598,357,135,True,False,False,0.08728659923708917,False,regular,513,real
gu35yvbt7kmrf,3048,2389,5,28,False,False,False,0.0026994401206500876,True,very_low,66,fake
David Moore61,71897,951,474,75,True,False,False,0.03664702371397219,False,occasional,171,real
NikeOfficial1,788,1837,38,0,False,False,False,0.01917821478471169,False,irregular,263,fake
Follower469Bot,1251,3441,45,14,False,False,False,0.0062233184882646555,False,very_low,86,fake
Jack Williams,19180,501,45,27,True,False,False,0.05923447454826908,False,regular,1059,real
FashionNovaShop1,1021,4250,24,45,True,True,False,0.009250855238370981,True,spammy,116,fake
Bob Wilson17,82354,949,179,105,True,False,False,0.08157376379210177,False,occasional,1269,real
Robert Jones2003,3511,1630,4,24,False,True,False,0.01893303178927459,True,spammy,74,fake
Mary Brown1982,974,4783,38,2,True,False,False,0.007161351642453426,False,spammy,17,fake
Hannah Smith,7005,104,328,77,True,False,False,0.06963169003985416,False,occasional,1142,real
Robert Jones1988,2230,3857,17,46,False,True,False,0.0009288825940175216,True,irregular,361,fake
Eve Smith,52799,958,97,30,True,False,False,0.08334197952376057,True,occasional,909,real
5e5xobnv_11uo,3769,1232,21,44,False,True,False,0.016338713435069208,False,very_low,249,fake
Bob Smith88,43491,288,472,143,True,False,False,0.055486196252770716,False,occasional,780,real
